SMI,Target,Property
C/C=C(/[C@@H]1O)C[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)N(C)C(=O)C=C4,AR,agonist
CC(=O)C(C)N(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
CC(=O)O[C@]1(C(=O)C)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)C([C@@H](C)C3)=CC(=O)CC4,AR,agonist
CC(C)(C)CCN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
CC(C)(C)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
O1CCN(C(C)(C)C)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(C(C)C)CCN3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(CC(C)C)CCN3,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(CCO3)CC(C)C,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)NCC(C)C,AR,agonist
CC(C)C[C@H](CO1)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)CN(C(C)C)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
CC(C)[C@H](CO1)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)CN(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(C)C,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(C)(C)CCN3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)CCC(C)(C)N3,AR,agonist
n1c(O)cc(C(F)(F)F)c(c2)c1cc(c23)NCC3(C)C,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)ccc(c2)N3CCCC3C,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(C)CCN3,AR,agonist
FC(F)(F)c1cc(=O)oc(c12)cc3c(c2)C(C)CCN3,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(C)CC(O3)C,AR,agonist
CC(O1)CN(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)NC(C)CO3,AR,agonist
O1CC(C)N(CC(F)(F)F)c(c2)c1cc(c23)[nH]c(=O)cc3C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc3c(c2)N(C(C)CO3)CC4CC4,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(C)[C@@H](C)CN3,AR,agonist
FC(F)(F)c1cc(O)nc(c12)cc3c(c2)C(C)[C@H](C)CN3,AR,agonist
CCC(C)N(CC(F)(F)F)c(c1)ccc(c12)[nH]c(=O)cc2C(F)(F)F,AR,agonist
FC(F)(F)c1cc(=O)[nH]c(c12)cc(N)c(c2)C(C)CC,AR,agonist
